VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,total_amount,trip_duration,average_speed,short_trip_flag,pickup_hour,pickup_day_of_week,is_weekend,tip_percentage,trip_distance_category
2,2019-05-01 00:30:52,2019-05-01 01:00:32,1,5.83,164,7,22.5,26.3,29.666666666666668,11.791011235955056,0,0,2,0,16.888888888888893,long
2,2019-05-01 00:06:00,2019-05-01 00:41:02,1,7.68,233,61,28.5,38.76,35.03333333333333,13.153187440532825,0,0,2,0,35.99999999999999,long
2,2019-05-01 00:20:09,2019-05-01 00:21:33,1,0.4,162,162,3.5,7.3,1.4,17.142857142857146,1,0,2,0,108.57142857142857,short
1,2019-05-01 00:29:10,2019-05-01 00:55:28,1,17.2,132,162,52.0,73.67,26.3,39.23954372623574,0,0,2,0,41.67307692307693,long
1,2019-05-01 00:23:41,2019-05-01 00:29:46,1,1.0,107,79,6.0,11.6,6.083333333333333,9.863013698630137,0,0,2,0,93.33333333333333,medium
1,2019-05-01 00:45:07,2019-05-01 00:54:02,3,1.4,107,68,8.0,12.8,8.916666666666666,9.42056074766355,0,0,2,0,60.00000000000001,medium
2,2019-05-01 00:22:26,2019-05-01 00:27:19,2,1.08,230,50,6.0,11.27,4.883333333333334,13.269624573378838,0,0,2,0,87.83333333333333,medium
2,2019-05-01 00:34:32,2019-05-01 00:50:00,2,4.83,48,116,16.0,25.74,15.466666666666667,18.737068965517242,0,0,2,0,60.87499999999999,medium
2,2019-05-01 00:25:20,2019-05-01 00:37:25,3,2.62,229,239,11.5,19.12,12.083333333333334,13.009655172413794,0,0,2,0,66.26086956521739,medium
1,2019-05-01 00:01:09,2019-05-01 00:25:12,1,17.1,132,80,46.0,47.3,24.05,42.66112266112267,0,0,2,0,2.826086956521733,long
2,2019-05-01 00:02:08,2019-05-01 00:17:41,1,5.13,230,42,16.5,25.38,15.55,19.79421221864952,0,0,2,0,53.81818181818181,long
2,2019-05-01 00:20:21,2019-05-01 00:25:59,1,1.38,41,152,6.5,9.75,5.633333333333334,14.698224852071004,0,0,2,0,50.0,medium
2,2019-05-01 00:51:20,2019-05-01 01:00:51,1,2.34,238,116,10.5,11.8,9.516666666666667,14.753064798598947,0,0,2,0,12.380952380952388,medium
2,2019-05-01 00:01:48,2019-05-01 00:11:41,1,2.55,237,75,10.0,13.8,9.883333333333333,15.48060708263069,0,0,2,0,38.00000000000001,medium
1,2019-05-01 00:28:13,2019-05-01 01:02:26,3,19.1,132,230,52.0,73.67,34.21666666666667,33.492450073063814,0,0,2,0,41.67307692307693,long
2,2019-05-01 00:34:21,2019-05-01 00:45:21,1,2.31,142,236,10.5,16.44,11.0,12.600000000000001,0,0,2,0,56.571428571428584,medium
1,2019-05-01 00:59:57,2019-05-01 01:13:18,2,2.9,43,234,12.0,18.96,13.35,13.03370786516854,0,0,2,0,58.00000000000001,medium
